English Name_Nom anglais,French Name_Nom français,Sort Order_Ordre de tri,Scientific Name_Nom scientifique,Survey_Relevé,Year_Année,Annual Index_Indice annuel,Lower 95% Credible Limit_Limite inférieure crédible de 95%,Upper 95% Credible Limit_Limite supérieure crédible de 95%
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1970,1110408.646,847488.8743,1420198.017
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1971,1179599.173,950159.6229,1448676.061
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1972,1255027.043,1039959.813,1501106.662
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1973,1333121.52,1120000.222,1574219.186
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1974,1417727.968,1208319.926,1663120.935
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1975,1505205.092,1290248.404,1769742.572
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1976,1596424.207,1357763.988,1880677.391
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1977,1679454.485,1425205.684,1982620.066
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1978,1755945.508,1490439.966,2083069.246
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1979,1813923.878,1529726.487,2156895.242
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1980,1866597.327,1579625.953,2206823.991
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1981,1917714.473,1615887.502,2272090.044
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1982,1971616.843,1639025.622,2339852.698
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1983,2040104.984,1687541.423,2428424.673
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1984,2118602.562,1757320.769,2542124.24
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1985,2220681.594,1839911.171,2675589.398
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1986,2345295.38,1925637.356,2839038.85
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1987,2504981.807,2039373.179,3032758.849
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1988,2696618.185,2187200.861,3289615.043
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1989,2941509.543,2377829.112,3605831.775
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1990,3251905.05,2623315.421,4007259.537
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1991,3646651.915,2954569.655,4472127.599
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1992,4135096.262,3309535.227,5054069.221
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1993,4717496.768,3799172.83,5709536.632
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1994,5436054.08,4445405.471,6484835.34
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1995,6270755.842,5211707.268,7467680.189
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1996,7226499.327,6054449.845,8585957.871
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1997,8283318.599,7023309.056,9822117.473
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1998,9367555.402,8014042.929,11108015.63
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,1999,10402149.86,8885775.08,12259436.05
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2000,11258891.49,9668525.186,13176965.4
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2001,11888765.9,10309666.73,13761889.07
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2002,12302022.71,10782928.66,14081122.22
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2003,12597306.99,11090256.92,14461330.84
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2004,12834130.59,11251486.81,14594168.15
Snow Goose,Oie des neiges,12,Anser caerulescens,Lincoln Estimate,2005,13018000.77,11415346.13,14814648.43
