English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Snow Goose,Oie des neiges,Anser caerulescens,12,Regular Breeder_Espèce qui niche régulièrement,908,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Ross's Goose,Oie de Ross,Anser rossii,13,Regular Breeder_Espèce qui niche régulièrement,1560,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Greater White-fronted Goose,Oie rieuse,Anser albifrons,15,Regular Breeder_Espèce qui niche régulièrement,514,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Brant,Bernache cravant,Branta bernicla,20,Regular Breeder_Espèce qui niche régulièrement,-44.2,Decreasing_Diminution,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Cackling Goose,Bernache de Hutchins,Branta hutchinsii,22,Regular Breeder_Espèce qui niche régulièrement,905,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Canada Goose,Bernache du Canada,Branta canadensis,23,Regular Breeder_Espèce qui niche régulièrement,82.6,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Mute Swan,Cygne tuberculé,Cygnus olor,25,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Trumpeter Swan,Cygne trompette,Cygnus buccinator,26,Regular Breeder_Espèce qui niche régulièrement,17900,Increasing_Augmentation,TRSW Survey_Relevé du CYTR,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Tundra Swan,Cygne siffleur,Cygnus columbianus,27,Regular Breeder_Espèce qui niche régulièrement,17.4,Stable_Stables,Winter Waterfowl_Sauvagine en hiver,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Wood Duck,Canard branchu,Aix sponsa,34,Regular Breeder_Espèce qui niche régulièrement,474,Increasing_Augmentation,Southern ON_Sud de l'Ontario,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
