Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex ," TPS
($ 000) ","Proportion 
of TPS (%)","Rate of 
use (%)",Number of active beneficiaries,Rank
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,Total,"1,105,266.00",8.2,0.5,"57,741",1
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,Total,"673,721.00",5.0,0.1,"12,019",2
1,Canada,S01LA,Antineovascularization agents,Total,Total,"615,215.90",4.6,0.5,"67,055",3
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,Total,"380,677.40",2.8,28.3,"3,476,989",4
1,Canada,N05AX,Other antipsychotics,Total,Total,"328,804.60",2.4,2.2,"267,339",5
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,Total,"311,728.20",2.3,4.5,"557,992",6
1,Canada,L01XE,Protein kinase inhibitors,Total,Total,"305,765.30",2.3,0.1,"10,046",7
1,Canada,L04AA,Selective immunosuppressants,Total,Total,"298,639.20",2.2,0.4,"44,622",8
1,Canada,A02BC,Proton pump inhibitors,Total,Total,"288,247.20",2.1,21.0,"2,579,405",9
1,Canada,B01AF,Direct factor Xa inhibitors,Total,Total,"272,265.40",2.0,3.0,"372,314",10
1,Canada,L04AX,Other immunosuppressants,Total,Total,"254,558.20",1.9,0.3,"33,508",11
1,Canada,C09AA,"ACE inhibitors, plain",Total,Total,"253,426.80",1.9,14.7,"1,805,740",12
1,Canada,N03AX,Other antiepileptics,Total,Total,"217,363.20",1.6,7.0,"855,604",13
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,Total,"213,721.30",1.6,4.3,"526,419",14
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,Total,"206,738.20",1.5,2.1,"261,637",15
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,Total,"201,329.30",1.5,2.1,"262,558",16
1,Canada,N06AX,Other antidepressants,Total,Total,"196,429.80",1.5,9.9,"1,212,754",17
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,Total,"191,858.30",1.4,0.2,"22,189",18
1,Canada,C08CA,Dihydropyridine derivatives,Total,Total,"189,630.40",1.4,12.5,"1,533,890",19
1,Canada,N02AA,Natural opium alkaloids,Total,Total,"186,701.50",1.4,6.3,"777,036",20
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,Total,"182,141.30",1.3,10.9,"1,337,637",21
1,Canada,N07BC,Drugs used in opioid dependence,Total,Total,"180,241.30",1.3,0.8,"97,514",22
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,Total,"175,905.50",1.3,1.7,"212,759",23
1,Canada,R03BB,Anticholinergics,Total,Total,"153,618.50",1.1,3.9,"480,659",24
1,Canada,C09CA,"Angiotensin II antagonists, plain",Total,Total,"127,185.40",0.9,8.7,"1,075,535",25
1,Canada,L04AC,Interleukin inhibitors,Total,Total,"120,172.30",0.9,0.1,"8,166",26
1,Canada,C07AB,"Beta-blocking agents, selective",Total,Total,"118,230.00",0.9,12.7,"1,558,599",27
1,Canada,N06BA,Centrally acting sympathomimetics,Total,Total,"110,844.60",0.8,1.8,"223,903",28
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,Total,"105,924.80",0.8,1.3,"154,722",29
1,Canada,R03BA,Glucocorticoids,Total,Total,"103,404.70",0.8,5.9,"728,345",30
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,Total,"94,780.15",0.7,1.8,"222,143",31
1,Canada,H03AA,Thyroid hormones,Total,Total,"94,354.82",0.7,12.2,"1,504,848",32
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,Total,"93,881.37",0.7,1.1,"135,178",33
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,Total,"93,092.39",0.7,0.2,"30,723",34
1,Canada,B01AB,Heparin group,Total,Total,"88,552.92",0.7,0.6,"77,421",35
1,Canada,M05BA,Bisphosphonates,Total,Total,"85,023.86",0.6,3.7,"454,972",36
1,Canada,A10BA,Biguanides,Total,Total,"82,602.99",0.6,9.6,"1,182,460",37
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,Total,"81,562.82",0.6,3.2,"390,606",38
1,Canada,B03XA,Other antianemic preparations,Total,Total,"78,933.80",0.6,0.1,"17,170",39
1,Canada,L03AA,Colony-stimulating factors,Total,Total,"77,084.46",0.6,0.1,"14,814",40
1,Canada,N05BA,Benzodiazepine derivatives,Total,Total,"66,456.18",0.5,9.4,"1,155,617",41
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,Total,"64,082.62",0.5,12.9,"1,580,019",42
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,Total,"63,261.58",0.5,5.1,"621,302",43
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,Total,"61,929.19",0.5,2.0,"246,036",44
1,Canada,H01CB,Somatostatin and analogues,Total,Total,"61,560.60",0.5,0.0,"4,306",45
1,Canada,C09BA,ACE inhibitors and diuretics,Total,Total,"61,057.66",0.5,2.5,"311,584",46
