Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex , TPS ($ 000) ,"Proportion 
of TPS (%)","Rate of 
use (%)", Number of active beneficiaries ,Rank
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,Total,"1,233,882.07",8.2,0.5,"65,514",1
1,Canada,S01LA,Antineovascularization agents,Total,Total,"774,484.40",5.2,0.6,"80,045",2
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,Total,"638,652.18",4.3,0.1,"12,444",3
1,Canada,L01XE,Protein kinase inhibitors,Total,Total,"566,185.41",3.8,0.1,"15,320",4
1,Canada,L04AA,Selective immunosuppressants,Total,Total,"428,442.41",2.9,0.4,"58,267",5
1,Canada,B01AF,Direct factor Xa inhibitors,Total,Total,"402,180.13",2.7,3.7,"512,312",6
1,Canada,L04AX,Other immunosuppressants,Total,Total,"400,011.15",2.7,0.3,"42,006",7
1,Canada,N05AX,Other antipsychotics,Total,Total,"332,642.24",2.2,2.2,"304,034",8
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,Total,"324,088.21",2.2,4.2,"587,098",9
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,Total,"306,978.74",2,26.4,"3,704,811",10
1,Canada,A02BC,Proton pump inhibitors,Total,Total,"254,727.90",1.7,19.6,"2,747,723",11
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,Total,"246,029.51",1.6,2.1,"299,151",12
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,Total,"245,020.81",1.6,2.3,"319,705",13
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,Total,"244,783.22",1.6,2,"283,201",14
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,Total,"215,171.79",1.4,2.1,"300,171",15
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,Total,"212,218.46",1.4,0.2,"27,439",16
1,Canada,N06AX,Other antidepressants,Total,Total,"208,039.10",1.4,9.7,"1,360,197",17
1,Canada,L04AC,Interleukin inhibitors,Total,Total,"201,112.98",1.3,0.1,"13,809",18
1,Canada,N03AX,Other antiepileptics,Total,Total,"197,957.05",1.3,6.9,"967,662",19
1,Canada,N07BC,Drugs used in opioid dependence,Total,Total,"197,212.16",1.3,0.8,"108,992",20
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,Total,"181,800.01",1.2,4,"564,956",21
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,Total,"176,247.29",1.2,11,"1,538,280",22
1,Canada,C08CA,Dihydropyridine derivatives,Total,Total,"166,633.12",1.1,12.2,"1,704,642",23
1,Canada,N02AA,Natural opium alkaloids,Total,Total,"165,891.67",1.1,5.6,"786,641",24
1,Canada,R03BB,Anticholinergics,Total,Total,"152,173.31",1,3.4,"481,445",25
1,Canada,N06BA,Centrally acting sympathomimetics,Total,Total,"151,371.61",1,2.3,"328,809",26
1,Canada,C09AA,"ACE inhibitors, plain",Total,Total,"145,400.45",1,13.2,"1,846,540",27
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,Total,"132,464.13",0.9,1.4,"189,492",28
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,Total,"126,656.99",0.8,8.6,"1,210,401",29
1,Canada,C07AB,"Beta-blocking agents, selective",Total,Total,"115,358.25",0.8,11.4,"1,599,483",30
1,Canada,R03BA,Glucocorticoids,Total,Total,"113,614.71",0.8,6,"842,257",31
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,Total,"104,197.55",0.7,0.2,"34,586",32
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,Total,"103,375.93",0.7,1.7,"236,935",33
1,Canada,H03AA,Thyroid hormones,Total,Total,"99,842.70",0.7,11.1,"1,559,049",34
1,Canada,L03AA,Colony-stimulating factors,Total,Total,"87,752.16",0.6,0.1,"18,003",35
1,Canada,B03XA,Other antianemic preparations,Total,Total,"87,254.14",0.6,0.1,"17,974",36
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,Total,"85,119.84",0.6,2.9,"403,291",37
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,Total,"83,428.88",0.6,0,"5,638",38
1,Canada,M05BA,Bisphosphonates,Total,Total,"81,561.23",0.5,3.3,"459,022",39
