Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
1975,..,Newfoundland and Labrador,Provincial Government,Hospitals,111121750,200,,
1976,..,Newfoundland and Labrador,Provincial Government,Hospitals,123335500,219,,
1977,..,Newfoundland and Labrador,Provincial Government,Hospitals,137070750,242,,
1978,..,Newfoundland and Labrador,Provincial Government,Hospitals,156226250,275,,
1979,..,Newfoundland and Labrador,Provincial Government,Hospitals,181159000,318,,
1980,..,Newfoundland and Labrador,Provincial Government,Hospitals,206356250,360,,
1981,..,Newfoundland and Labrador,Provincial Government,Hospitals,241793250,420,,
1982,..,Newfoundland and Labrador,Provincial Government,Hospitals,274765750,479,,
1983,..,Newfoundland and Labrador,Provincial Government,Hospitals,303435750,524,,
1984,..,Newfoundland and Labrador,Provincial Government,Hospitals,313394000,540,,
1985,..,Newfoundland and Labrador,Provincial Government,Hospitals,323631000,559,,
1986,..,Newfoundland and Labrador,Provincial Government,Hospitals,349609500,607,,
1987,..,Newfoundland and Labrador,Provincial Government,Hospitals,371608250,646,,
1988,..,Newfoundland and Labrador,Provincial Government,Hospitals,402842750,701,,
1989,..,Newfoundland and Labrador,Provincial Government,Hospitals,427243000,741,,
1990,..,Newfoundland and Labrador,Provincial Government,Hospitals,471488250,817,,
1991,..,Newfoundland and Labrador,Provincial Government,Hospitals,492307658,849,,
1992,..,Newfoundland and Labrador,Provincial Government,Hospitals,511042955,881,,
1993,..,Newfoundland and Labrador,Provincial Government,Hospitals,508676135,877,,
1994,..,Newfoundland and Labrador,Provincial Government,Hospitals,519955314,905,,
1995,..,Newfoundland and Labrador,Provincial Government,Hospitals,506510997,893,,
1996,..,Newfoundland and Labrador,Provincial Government,Hospitals,472138473,844,,
1997,..,Newfoundland and Labrador,Provincial Government,Hospitals,449858642,817,,
1998,..,Newfoundland and Labrador,Provincial Government,Hospitals,498716239,924,,
1999,..,Newfoundland and Labrador,Provincial Government,Hospitals,521458808,978,,
2000,..,Newfoundland and Labrador,Provincial Government,Hospitals,551477511,1045,,
2001,..,Newfoundland and Labrador,Provincial Government,Hospitals,616214164,1180,,
2002,..,Newfoundland and Labrador,Provincial Government,Hospitals,667569232,1285,,
2003,..,Newfoundland and Labrador,Provincial Government,Hospitals,684318242,1320,,
2004,..,Newfoundland and Labrador,Provincial Government,Hospitals,697108279,1347,,
2005,..,Newfoundland and Labrador,Provincial Government,Hospitals,744510268,1448,,
2006,..,Newfoundland and Labrador,Provincial Government,Hospitals,820971113,1608,,
2007,..,Newfoundland and Labrador,Provincial Government,Hospitals,875574135,1720,,
