date,value,market
2008-11-06,904.88,S&P
2008-11-07,930.99,S&P
2008-11-10,919.21,S&P
2008-11-11,898.95,S&P
2008-11-12,852.3,S&P
2008-11-13,911.29,S&P
2008-11-14,873.29,S&P
2008-11-17,850.75,S&P
2008-11-18,859.12,S&P
2008-11-19,806.58,S&P
2008-11-20,752.44,S&P
2008-11-21,800.03,S&P
2008-11-24,851.81,S&P
2008-11-25,857.39,S&P
2008-11-26,887.68,S&P
2008-11-28,896.24,S&P
2008-12-01,816.21,S&P
2008-12-02,848.81,S&P
2008-12-03,870.74,S&P
2008-12-04,845.22,S&P
2008-12-05,876.07,S&P
2008-12-08,909.7,S&P
2008-12-09,888.67,S&P
2008-12-10,899.24,S&P
2008-12-11,873.59,S&P
2008-12-12,879.73,S&P
2008-12-15,868.57,S&P
2008-12-16,913.18,S&P
2008-12-17,904.42,S&P
2008-12-18,885.28,S&P
2008-12-19,887.88,S&P
2008-12-22,871.63,S&P
2008-12-23,863.16,S&P
2008-12-24,868.15,S&P
2008-12-26,872.8,S&P
2008-12-29,869.42,S&P
2008-12-30,890.64,S&P
2008-12-31,903.25,S&P
2009-01-02,931.8,S&P
2009-01-05,927.45,S&P
2009-01-06,934.7,S&P
2009-01-07,906.65,S&P
2009-01-08,909.73,S&P
2009-01-09,890.35,S&P
2009-01-12,870.26,S&P
2009-01-13,871.79,S&P
2009-01-14,842.62,S&P
2009-01-15,843.74,S&P
2009-01-16,850.12,S&P
2009-01-20,805.22,S&P
2009-01-21,840.24,S&P
2009-01-22,827.5,S&P
2009-01-23,831.95,S&P
2009-01-26,836.57,S&P
2009-01-27,845.71,S&P
2009-01-28,874.09,S&P
2009-01-29,845.14,S&P
2009-01-30,825.88,S&P
2009-02-02,825.44,S&P
2009-02-03,838.51,S&P
2009-02-04,832.23,S&P
2009-02-05,845.85,S&P
2009-02-06,868.6,S&P
2009-02-09,869.89,S&P
2009-02-10,827.16,S&P
2009-02-11,833.74,S&P
2009-02-12,835.19,S&P
2009-02-13,826.84,S&P
2009-02-17,789.17,S&P
2009-02-18,788.42,S&P
2009-02-19,778.94,S&P
2009-02-20,770.05,S&P
2009-02-23,743.33,S&P
2009-02-24,773.14,S&P
2009-02-25,764.9,S&P
2009-02-26,752.83,S&P
2009-02-27,735.09,S&P
2009-03-02,700.82,S&P
2009-03-03,696.33,S&P
2009-03-04,712.87,S&P
2009-03-05,682.55,S&P
2009-03-06,683.38,S&P
2009-03-09,676.53,S&P
2009-03-10,719.6,S&P
2009-03-11,721.36,S&P
2009-03-12,750.74,S&P
2009-03-13,756.55,S&P
2009-03-16,753.89,S&P
2009-03-17,778.12,S&P
2009-03-18,794.35,S&P
2009-03-19,784.04,S&P
2009-03-20,768.54,S&P
2009-03-23,822.92,S&P
2009-03-24,806.12,S&P
2009-03-25,813.88,S&P
2009-03-26,832.86,S&P
2009-03-27,815.94,S&P
2009-03-30,787.53,S&P
2009-03-31,797.87,S&P
2009-04-01,811.08,S&P
2009-04-02,834.38,S&P
2009-04-03,842.5,S&P
2009-04-06,835.48,S&P
2009-04-07,815.55,S&P
2009-04-08,825.16,S&P
2009-04-09,856.56,S&P
2009-04-13,858.73,S&P
2009-04-14,841.5,S&P
2009-04-15,852.06,S&P
2009-04-16,865.3,S&P
2009-04-17,869.6,S&P
2009-04-20,832.39,S&P
2009-04-21,850.08,S&P
2009-04-22,843.55,S&P
2009-04-23,851.92,S&P
2009-04-24,866.23,S&P
2009-04-27,857.51,S&P
2009-04-28,855.16,S&P
2009-04-29,873.64,S&P
2009-04-30,872.81,S&P
2009-05-01,877.52,S&P
2009-05-04,907.24,S&P
2009-05-05,903.8,S&P
2009-05-06,919.53,S&P
2009-05-07,907.39,S&P
2009-05-08,929.23,S&P
2009-05-11,909.24,S&P
2009-05-12,908.35,S&P
2009-05-13,883.92,S&P
2009-05-14,893.07,S&P
2009-05-15,882.88,S&P
2009-05-18,909.71,S&P
2009-05-19,908.13,S&P
2009-05-20,903.47,S&P
2009-05-21,888.33,S&P
2009-05-22,887,S&P
2009-05-26,910.33,S&P
2009-05-27,893.06,S&P
2009-05-28,906.83,S&P
2009-05-29,919.14,S&P
2009-06-01,942.87,S&P
2009-06-02,944.74,S&P
2009-06-03,931.76,S&P
2009-06-04,942.46,S&P
2009-06-05,940.09,S&P
2009-06-08,939.14,S&P
2009-06-09,942.43,S&P
2009-06-10,939.15,S&P
2009-06-11,944.89,S&P
2009-06-12,946.21,S&P
2009-06-15,923.72,S&P
2009-06-16,911.97,S&P
2009-06-17,910.71,S&P
2009-06-18,918.37,S&P
2009-06-19,921.23,S&P
2009-06-22,893.04,S&P
2009-06-23,895.1,S&P
2009-06-24,900.94,S&P
2009-06-25,920.26,S&P
2009-06-26,918.9,S&P
2009-06-29,927.23,S&P
2009-06-30,919.32,S&P
2009-07-01,923.33,S&P
2009-07-02,896.42,S&P
2009-07-06,898.72,S&P
2009-07-07,881.03,S&P
2009-07-08,879.56,S&P
2009-07-09,882.68,S&P
2009-07-10,879.13,S&P
2009-07-13,901.05,S&P
2009-07-14,905.84,S&P
2009-07-15,932.68,S&P
2009-07-16,940.74,S&P
2009-07-17,940.38,S&P
2009-07-20,951.13,S&P
2009-07-21,954.58,S&P
2009-07-22,954.07,S&P
2009-07-23,976.29,S&P
2009-07-24,979.26,S&P
2009-07-27,982.18,S&P
2009-07-28,979.62,S&P
2009-07-29,975.15,S&P
2009-07-30,986.75,S&P
2009-07-31,987.48,S&P
2009-08-03,1002.63,S&P
2009-08-04,1005.65,S&P
2009-08-05,1002.72,S&P
2009-08-06,997.08,S&P
2009-08-07,1010.48,S&P
2009-08-10,1007.1,S&P
2009-08-11,994.35,S&P
2009-08-12,1005.81,S&P
2009-08-13,1012.73,S&P
2009-08-14,1004.09,S&P
2009-08-17,979.73,S&P
2009-08-18,989.67,S&P
2009-08-19,996.46,S&P
2009-08-20,1007.37,S&P
2009-08-21,1026.13,S&P
2009-08-24,1025.57,S&P
2009-08-25,1028,S&P
2009-08-26,1028.12,S&P
2009-08-27,1030.98,S&P
2009-08-28,1028.93,S&P
2009-08-31,1020.62,S&P
2009-09-01,998.04,S&P
2009-09-02,994.75,S&P
2009-09-03,1003.24,S&P
2009-09-04,1016.4,S&P
2009-09-08,1025.39,S&P
2009-09-09,1033.37,S&P
2009-09-10,1044.14,S&P
2009-09-11,1042.73,S&P
2009-09-14,1049.34,S&P
2009-09-15,1052.63,S&P
2009-09-16,1068.76,S&P
2009-09-17,1065.49,S&P
2009-09-18,1068.3,S&P
2009-09-21,1064.66,S&P
2009-09-22,1071.66,S&P
2009-09-23,1060.87,S&P
2009-09-24,1050.78,S&P
2009-09-25,1044.38,S&P
2009-09-28,1062.98,S&P
2009-09-29,1060.61,S&P
2009-09-30,1057.08,S&P
2009-10-01,1029.85,S&P
2009-10-02,1025.21,S&P
2009-10-05,1040.46,S&P
2009-10-06,1054.72,S&P
2009-10-07,1057.58,S&P
2009-10-08,1065.48,S&P
2009-10-09,1071.49,S&P
2009-10-12,1076.19,S&P
2009-10-13,1073.19,S&P
2009-10-14,1092.02,S&P
2009-10-15,1096.56,S&P
2009-10-16,1087.68,S&P
2009-10-19,1097.91,S&P
2009-10-20,1091.06,S&P
2009-10-21,1081.4,S&P
2009-10-22,1092.91,S&P
2009-10-23,1079.6,S&P
2009-10-26,1066.95,S&P
2009-10-27,1063.41,S&P
2009-10-28,1042.63,S&P
2009-10-29,1066.11,S&P
2009-10-30,1036.19,S&P
2009-11-02,1042.88,S&P
2009-11-03,1045.41,S&P
2009-11-04,1046.5,S&P
2009-11-05,1066.63,S&P
2009-11-06,1069.3,S&P
2009-11-09,1093.08,S&P
2009-11-10,1093.01,S&P
2009-11-11,1098.51,S&P
2009-11-12,1087.24,S&P
2009-11-13,1093.48,S&P
2009-11-16,1109.3,S&P
2009-11-17,1110.32,S&P
2009-11-18,1109.8,S&P
2009-11-19,1094.9,S&P
2009-11-20,1091.38,S&P
2009-11-23,1106.24,S&P
2009-11-24,1105.65,S&P
2009-11-25,1110.63,S&P
2009-11-27,1091.49,S&P
2009-11-30,1095.63,S&P
2009-12-01,1108.86,S&P
2009-12-02,1109.24,S&P
2009-12-03,1099.92,S&P
2009-12-04,1105.98,S&P
2009-12-07,1103.25,S&P
2009-12-08,1091.94,S&P
2009-12-09,1095.95,S&P
2009-12-10,1102.35,S&P
2009-12-11,1106.41,S&P
2009-12-14,1114.11,S&P
2009-12-15,1107.93,S&P
